OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT,ObjectId
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,69,Blake-Jones,5,25
2021,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,133,Centennial Scarborough,3,26
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,59,Danforth East York,50,27
2018,D41,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,123,Cliffcrest,2,28
2015,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,80,Palmerston-Little Italy,19,29
2021,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,107,Oakwood Village,4,30
2022,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,18,New Toronto,20,31
2018,D12,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,29,Maple Leaf,1,32
2017,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,163,Fort York-Liberty Village,1,33
2017,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,146,Malvern East,153,34
2018,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,11,Eringate-Centennial-West Deane,3,35
2022,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,151,Yonge-Doris,4,36
2020,D33,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,53,Henry Farm,1,37
2020,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,78,Kensington-Chinatown,2,38
2020,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,149,Parkwoods-O'Connor Hills,20,39
2014,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,123,Cliffcrest,92,40
2021,D31,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,27,York University Heights,10,41
2014,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,133,Centennial Scarborough,1,42
2018,D51,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,167,Church-Wellesley,3,43
2020,D32,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,151,Yonge-Doris,2,44
2021,D53,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,173,North Toronto,3,45
2022,NSA,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,144,Morningside Heights,1,46
2016,D32,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,37,Willowdale West,3,47
2020,D22,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,13,Etobicoke West Mall,28,48
2018,NSA,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,48,Hillcrest Village,2,49
2021,NSA,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,130,Milliken,1,50
2022,D22,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,19,Long Branch,3,51
2017,D55,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,60,Woodbine-Lumsden,5,52
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,16,Stonegate-Queensway,75,53
2021,D31,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Youth,155,Downsview,2,54
2015,D52,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,164,Wellington Place,158,55
2014,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,124,Kennedy Park,41,56
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,99,Mount Pleasant East,1,57
2016,D52,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,165,Harbourfront-CityPlace,35,58
2019,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,47,Don Valley Village,34,59
2021,D52,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,NSA,NSA,8,60
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,96,Casa Loma,33,61
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,168,Downtown Yonge East,462,62
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,NSA,NSA,78,63
2021,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,91,Weston-Pelham Park,139,64
2022,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,101,Forest Hill South,9,65
2016,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,121,Oakridge,1,66
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,36,Newtonbrook West,348,67
2018,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,143,West Rouge,4,68
2019,D12,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,115,Mount Dennis,10,69
2014,D42,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,144,Morningside Heights,10,70
2020,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,165,Harbourfront-CityPlace,2,71
2021,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,103,Lawrence Park South,2,72
2017,D52,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,164,Wellington Place,453,73
2018,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,118,Tam O'Shanter-Sullivan,167,74
2017,D31,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,27,York University Heights,164,75
2021,NSA,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,48,Hillcrest Village,4,76
2021,D12,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,23,Pelmo Park-Humberlea,1,77
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,55,Thorncliffe Park,1,78
2014,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,27,York University Heights,309,79
2015,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,27,York University Heights,41,80
2017,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,NSA,NSA,6,81
2018,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,46,Pleasant View,15,82
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,100,Yonge-Eglinton,318,83
2016,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,65,Greenwood-Coxwell,33,84
2018,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,41,Bridle Path-Sunnybrook-York Mills,20,85
2019,D23,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,NSA,NSA,80,86
2018,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Youth,136,West Hill,1,87
2019,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,148,East L'Amoreaux,15,88
2015,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,126,Dorset Park,192,89
2017,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,10,Princess-Rosethorn,5,90
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,54,O'Connor-Parkview,2,91
2022,NSA,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,49,Bayview Woods-Steeles,83,92
2015,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,63,The Beaches,115,93
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,142,Woburn North,12,94
2022,D31,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,48,Hillcrest Village,1,95
2018,D43,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,133,Centennial Scarborough,3,96
2016,D13,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,96,Casa Loma,14,97
2015,D42,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,116,Steeles,1,98
2015,D51,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,73,Moss Park,908,99
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,24,Black Creek,87,100
2016,D55,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,54,O'Connor-Parkview,2,101
2021,D23,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,9,Edenbridge-Humber Valley,9,102
2016,D53,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,174,South Eglinton-Davisville,2,103
2014,D41,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,NSA,NSA,13,104
2022,D14,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,80,Palmerston-Little Italy,1,105
2020,D53,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,100,Yonge-Eglinton,4,106
2021,D55,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,NSA,NSA,1,107
2019,D11,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,171,Junction-Wallace Emerson,7,108
2018,D11,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,89,Runnymede-Bloor West Village,5,109
2022,D33,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,119,Wexford/Maryvale,4,110
2018,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,163,Fort York-Liberty Village,6,111
2017,D51,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,168,Downtown Yonge East,584,112
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,36,Newtonbrook West,1,113
2021,D43,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,135,Morningside,678,114
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,102,Forest Hill North,17,115
2019,D31,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,22,Humbermede,33,116
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,85,South Parkdale,1,117
2019,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,NSA,NSA,847,118
2020,D31,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,21,Humber Summit,8,119
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,33,Clanton Park,65,120
2020,D42,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,146,Malvern East,293,121
2020,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,161,Humber Bay Shores,651,122
2022,D32,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,33,Clanton Park,2,123
2017,D33,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,149,Parkwoods-O'Connor Hills,19,124
2014,D11,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,171,Junction-Wallace Emerson,41,125
2022,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,156,Bendale-Glen Andrew,1,126
2017,D43,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,133,Centennial Scarborough,44,127
2021,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,85,South Parkdale,4,128
2019,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,172,Dovercourt Village,10,129
2017,D33,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,44,Flemingdon Park,3,130
2014,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,121,Oakridge,3,131
2022,D13,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,94,Wychwood,11,132
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,130,Milliken,3,133
2022,D12,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,115,Mount Dennis,8,134
2018,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,22,Humbermede,108,135
2022,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,46,Pleasant View,25,136
2016,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,87,High Park-Swansea,2,137
2014,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,156,Bendale-Glen Andrew,26,138
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,27,York University Heights,18,139
2016,D11,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,85,South Parkdale,4,140
2020,D43,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,NSA,NSA,21,141
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,403,142
2019,D31,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,24,Black Creek,74,143
2020,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,126,Dorset Park,4,144
2014,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,102,Forest Hill North,1,145
2014,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,126,Dorset Park,25,146
2014,D22,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,16,Stonegate-Queensway,2,147
2015,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,129,Agincourt North,4,148
2017,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,108,Briar Hill-Belgravia,40,149
2019,D52,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,164,Wellington Place,292,150
2021,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,4,Rexdale-Kipling,58,151
2014,D33,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,47,Don Valley Village,11,152
2020,D14,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Youth,164,Wellington Place,2,153
2014,D12,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,111,Rockcliffe-Smythe,193,154
2014,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,150,Fenside-Parkwoods,10,155
2019,D43,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,156,Bendale-Glen Andrew,125,156
2014,D51,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,73,Moss Park,1,157
2016,D11,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,91,Weston-Pelham Park,18,158
2022,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Youth,151,Yonge-Doris,1,159
2021,D23,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,8,Humber Heights-Westmount,5,160
2016,D13,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,109,Caledonia-Fairbank,15,161
2019,D13,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,31,Yorkdale-Glen Park,180,162
2015,D23,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,1,West Humber-Clairville,50,163
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,126,Dorset Park,435,164
2016,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,121,Oakridge,17,165
2021,D43,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,136,West Hill,18,166
2022,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,62,East End-Danforth,29,167
2022,D41,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,122,Birchcliffe-Cliffside,2,168
2022,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,43,Victoria Village,28,169
2019,D13,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,107,Oakwood Village,3,170
2021,D12,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,29,Maple Leaf,66,171
2022,D33,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,44,Flemingdon Park,29,172
2017,D22,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,19,Long Branch,27,173
2018,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,152,East Willowdale,10,174
2014,D33,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,118,Tam O'Shanter-Sullivan,1,175
2015,D33,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,150,Fenside-Parkwoods,5,176
2015,D22,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,158,Islington,7,177
2019,D43,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,140,Guildwood,4,178
2019,D31,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Youth,25,Glenfield-Jane Heights,1,179
2021,D31,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,23,Pelmo Park-Humberlea,6,180
2019,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,3,Thistletown-Beaumond Heights,53,181
2021,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,71,Cabbagetown-South St.James Town,1,182
2018,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,89,Runnymede-Bloor West Village,38,183
2022,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,58,Old East York,1,184
2014,D11,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Youth,83,Dufferin Grove,1,185
2018,D23,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,NSA,NSA,530,186
2015,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,15,Kingsway South,77,187
2014,D41,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,120,Clairlea-Birchmount,4,188
2014,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,2,Mount Olive-Silverstone-Jamestown,5,189
2017,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,NSA,NSA,528,190
2016,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,74,North St.James Town,71,191
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,103,Lawrence Park South,5,192
2022,D55,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,120,Clairlea-Birchmount,3,193
2019,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,40,St.Andrew-Windfields,49,194
2014,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,44,Flemingdon Park,54,195
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,NSA,NSA,22,196
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,122,Birchcliffe-Cliffside,27,197
2021,D55,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,58,Old East York,39,198
2021,NSA,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,12,Markland Wood,1,199
2021,D32,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,62,200
2021,D12,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,30,Brookhaven-Amesbury,192,201
2016,D32,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,32,Englemount-Lawrence,191,202
2014,D13,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,32,Englemount-Lawrence,48,203
2022,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,123,Cliffcrest,1,204
2015,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,120,Clairlea-Birchmount,5,205
2014,D42,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,148,East L'Amoreaux,1,206
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,91,Weston-Pelham Park,31,207
2022,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,126,Dorset Park,775,208
2017,D22,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,85,South Parkdale,2,209
2016,D33,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,53,Henry Farm,48,210
2021,D11,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,90,Junction Area,99,211
2018,D51,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,168,Downtown Yonge East,438,212
2022,D14,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,84,Little Portugal,119,213
2016,D23,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,21,Humber Summit,5,214
2019,D55,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,70,South Riverdale,1,215
2022,D41,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,119,Wexford/Maryvale,11,216
2016,D33,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,150,Fenside-Parkwoods,4,217
2017,D31,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,24,Black Creek,12,218
2017,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,169,Bay-Cloverhill,28,219
2018,D14,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,81,Trinity-Bellwoods,2,220
2017,D22,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,10,Princess-Rosethorn,6,221
2020,D23,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,8,Humber Heights-Westmount,41,222
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,40,St.Andrew-Windfields,1,223
2014,D33,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,53,Henry Farm,20,224
2017,D42,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,118,Tam O'Shanter-Sullivan,3,225
2019,D33,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,52,Bayview Village,122,226
2016,D11,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,88,High Park North,69,227
2018,D31,Prov Offence Summons Part Iii Form 104                                         ,Distracted Driving,Adult,21,Humber Summit,1,228
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,124,Kennedy Park,214,229
2019,D41,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,122,Birchcliffe-Cliffside,20,230
2022,D53,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Adult,NSA,NSA,1004,231
2017,D51,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,74,North St.James Town,3,232
2019,D43,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,141,Golfdale-Cedarbrae-Woburn,43,233
2018,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,1,West Humber-Clairville,3,234
2016,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,3,Thistletown-Beaumond Heights,165,235
2017,D53,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,167,Church-Wellesley,17,236
2015,D52,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,164,Wellington Place,452,237
2016,D43,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,135,Morningside,8,238
2018,D22,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,9,Edenbridge-Humber Valley,20,239
2017,D11,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,85,South Parkdale,2,240
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,43,Victoria Village,114,241
2018,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,153,Avondale,1,242
2021,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,9,243
2014,D22,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,13,Etobicoke West Mall,4,244
2015,D53,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,169,Bay-Cloverhill,2,245
2016,D13,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,NSA,NSA,229,246
2022,D22,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,18,New Toronto,49,247
2020,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,101,Forest Hill South,70,248
2022,D23,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,8,Humber Heights-Westmount,53,249
2019,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,56,Leaside-Bennington,414,250
2020,D55,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,70,South Riverdale,225,251
